id_bien,adresse,surf_carrez,nb_lot,type_local,surf_reelle,nb_piece,idcom
78646AD39101,45  BD DE LA REINE,54.67,4,Appartement,56,2,2342
78423AS2721,14  RUE LAMARTINE,74.93,1,Maison,72,2,2346
78646BW17934,6  RUE ALEXANDRE BONTEMPS,45.75,2,Appartement,46,1,2342
78545AO131139,101 B AV PIERRE CURIE,52.91,2,Appartement,53,2,2343
78686AH50321,9001  CLOS SAINT VIGOR,66.45,2,Appartement,65,4,2345
78646AY161,56  RUE DE MONTREUIL,25.09,1,Appartement,13,1,2342
78646AD251,3  RUE D ANGOULEME,77.56,1,Appartement,75,3,2342
78686AD8567,10  BD DE LA LIBERATION,86.53,1,Appartement,86,4,2345
78545AL11751,11  PL PIERRE SEMARD,90.89,1,Maison,78,5,2343
78686AB506220,16  RUE GABRIEL PERI,31.98,2,Appartement,35,1,2345
78686AD51618,55  AV GASTON BOISSIER,14.54,1,Appartement,18,1,2345
78545AP2412,49  RUE GABRIEL PERI,56.32,1,Appartement,68,3,2343
78621AH5442,14  SQ JEAN COCTEAU,94.24,2,Appartement,95,5,2348
78621AB717,6  SQ GEORGE SAND,98.53,1,Appartement,100,5,2348
78545AC148112,5  ALL NICOLAS POUSSIN,42.89,1,Appartement,42,2,2343
78158AN8150,24  RUE CARUEL ST MARTIN,26.18,1,Appartement,35,1,2351
78158AI6994406,10  RUE DES DEUX FRERES,33.14,1,Appartement,33,1,2351
78646AX18718,2  RUE EMILE DESCHAMPS,31.26,2,Appartement,31,1,2342
78646AD1731,21  RUE D ANGOULEME,131.29,9,Appartement,140,5,2342
78545AL1226,25  AV LA DIVISION LECLERC,23.08,2,Appartement,27,1,2343
78646AH2619,7  RUE DE L ORANGERIE,34.47,2,Appartement,40,2,2342
78646BR15130,6 T RUE EDOUARD LEFEBVRE,101.49,1,Appartement,98,4,2342
78640AM459488,6  ALL DE NORMANDIE,68.05,2,Appartement,65,3,2347
78640AM159246,3  RUE CLEMENT ADER,62.75,2,Appartement,58,3,2347
78297AL93151,1  RUE DU QUATORZE JUILLET,63.65,2,Appartement,64,3,2349
78646AE311302,9  AV DE SAINT CLOUD,43.6,1,Appartement,47,1,2342
78423AY32722,11  RUE DE CARNAC,63.14,1,Appartement,67,3,2346
